,agency,local_area,4 Year Cohort Graduation Rate* ,Dropout Rate *,Assessment: ELA Participation,Assessment: Math Participation Rate,Assessment: ELA Achievement Rate,Assessment: Math Achievement Rate,Discipline (>10 days) Rate *,Discipline (>10 days) Areas Disproportionate *,LRE Rate: In Regular Class more than 80%,LRE Rate: In Regular Class less than 40%,LRE Rate: Separate Schools,Preschool LRE: Regular Program,Preschool LRE: Separate Class,Positive Socio-Emotional Skills Substantially Increased,Positive Socio-Emotional Skills Functioning within age expectations,Acquisition of Knowledge/Skills Substantially Increased,Acquisition of Knowledge/Skills Functioning within age expectations,Use of Appropriate Behaviors Substantially Increased,Use of Appropriate Behaviors Functioning within age expectations,Parent Involvement Rate,Overall Disproportionality Areas,Disproportionality by Disability Areas,Rate of Eligibility Determined within 60 days,Rate of Part C to Part B Students with Timely IEPs ,Rate of Students with Transition Goals/Services,Rate of Post School Outcomes: Higher Education,Competitive Employment or Higher Education,Any Employment or Education
731,Freshwater Elementary,Humboldt-Del Norte,NC,NC,100.00%,100.00%,NC,NC,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
732,Fresno County Office of Education,Fresno County,76.32%,NC,86.87%,86.10%,3.56%,0.90%,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,99.71%,9.68%,12.90%,100.00%
733,Fresno Unified,Fresno Unified,66.60%,0.37%,94.00%,92.60%,8.96%,8.25%,1.40,1,53.29%,30.22%,2.38%,44.91%,30.23%,62.50%,58.67%,56.52%,54.23%,60.81%,56.34%,99.85%,0,2,100.00%,85.94%,100.00%,67.66%,77.84%,89.82%
734,Frontier Elementary,Kings County,NC,NC,100.00%,100.00%,NC,NC,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
735,Fruitvale Elementary,Kern County Consortium,NC,NC,99.57%,99.13%,14.41%,15.79%,0.00,0,66.67%,2.27%,2.59%,5.48%,67.12%,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,NC,NC,NC,NC
736,Fuente Nueva Charter,Humboldt-Del Norte,NC,NC,87.50%,87.50%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
737,Fullerton Elementary,North Orange County,NC,NC,95.94%,95.94%,14.39%,13.54%,0.16,0,62.69%,22.14%,0.77%,63.19%,33.68%,75.00%,78.95%,80.00%,81.48%,NC,83.93%,99.84%,0,1,100.00%,100.00%,NC,NC,NC,NC
738,Fullerton Joint Union High,North Orange County,79.14%,1.62%,89.93%,89.93%,16.40%,8.00%,0.81,0,34.90%,18.15%,2.47%,NC,NC,NC,NC,NC,NC,NC,NC,99.80%,0,1,100.00%,NC,100.00%,NC,NC,NC
739,Fusion Charter,Stanislaus County,NC,NC,91.67%,91.67%,NC,NC,0.00,0,40.00%,16.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
740,Futures High,Twin Rivers Unified,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
741,GOALS Academy,El Dorado County Charter,NC,NC,100.00%,100.00%,NC,NC,0.00,0,79.17%,20.83%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
742,Gabriella Charter,Los Angeles Unified,NC,NC,97.33%,98.67%,32.88%,21.62%,0.00,0,94.94%,3.80%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
743,Gabriella Charter 2,Los Angeles Unified,NC,NC,100.00%,100.00%,NC,NC,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
