,agency,local_area,4 Year Cohort Graduation Rate* ,Dropout Rate *,Assessment: ELA Participation,Assessment: Math Participation Rate,Assessment: ELA Achievement Rate,Assessment: Math Achievement Rate,Discipline (>10 days) Rate *,Discipline (>10 days) Areas Disproportionate *,LRE Rate: In Regular Class more than 80%,LRE Rate: In Regular Class less than 40%,LRE Rate: Separate Schools,Preschool LRE: Regular Program,Preschool LRE: Separate Class,Positive Socio-Emotional Skills Substantially Increased,Positive Socio-Emotional Skills Functioning within age expectations,Acquisition of Knowledge/Skills Substantially Increased,Acquisition of Knowledge/Skills Functioning within age expectations,Use of Appropriate Behaviors Substantially Increased,Use of Appropriate Behaviors Functioning within age expectations,Parent Involvement Rate,Overall Disproportionality Areas,Disproportionality by Disability Areas,Rate of Eligibility Determined within 60 days,Rate of Part C to Part B Students with Timely IEPs ,Rate of Students with Transition Goals/Services,Rate of Post School Outcomes: Higher Education,Competitive Employment or Higher Education,Any Employment or Education
1814,San Marcos Unified,North Coastal,86.36%,2.02%,95.45%,95.07%,21.87%,15.17%,0.23,0,65.98%,8.88%,1.51%,22.66%,54.11%,73.08%,72.22%,80.00%,74.29%,73.33%,74.00%,100.00%,0,0,100.00%,100.00%,100.00%,59.21%,76.97%,83.55%
1815,San Marino Unified,West San Gabriel Valley,70.83%,NC,93.65%,92.86%,39.83%,38.46%,0.00,0,58.11%,14.41%,3.60%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,100.00%,NC,NC,NC
1816,San Mateo County Office of Education,San Mateo County,85.00%,NC,76.92%,78.21%,3.33%,1.64%,NC,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,93.02%,0,0,100.00%,NC,100.00%,NC,NC,NC
1817,San Mateo Union High,San Mateo County,93.30%,2.92%,69.58%,68.33%,24.55%,12.20%,0.38,0,46.72%,20.97%,5.17%,NC,NC,NC,NC,NC,NC,NC,NC,99.62%,2,6,100.00%,NC,100.00%,61.81%,88.89%,97.92%
1818,San Mateo-Foster City,San Mateo County,NC,NC,94.46%,93.93%,14.81%,14.54%,NC,0,66.59%,24.29%,1.10%,88.14%,8.76%,60.87%,70.18%,NC,81.48%,NC,77.36%,99.32%,0,2,100.00%,63.16%,NC,NC,NC,NC
1819,San Miguel Elementary,Sonoma County,NC,NC,100.00%,100.00%,27.27%,18.18%,0.00,0,52.27%,45.45%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1820,San Miguel Joint Union,San Luis Obispo County,NC,NC,98.39%,96.77%,9.84%,10.00%,0.00,0,69.44%,15.28%,0.00%,77.78%,14.81%,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,NC,NC,NC,NC
1821,San Pasqual Union Elementary,North Inland,NC,NC,93.94%,93.94%,19.35%,16.13%,0.00,0,91.67%,2.78%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1822,San Pasqual Valley Unified,Imperial County,NC,NC,95.16%,93.55%,23.73%,10.34%,NC,0,57.14%,6.67%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
1823,San Rafael City Elementary,Marin County,NC,NC,94.79%,94.80%,13.92%,11.61%,0.44,0,68.47%,10.59%,3.15%,94.74%,3.76%,NC,92.11%,NC,89.47%,NC,94.74%,99.85%,1,0,100.00%,NC,NC,NC,NC,NC
1824,San Rafael City High,Marin County,90.14%,4.44%,79.45%,71.23%,20.69%,9.62%,NC,0,42.22%,22.54%,7.94%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,1,NC,NC,99.53%,NC,NC,NC
1825,San Ramon Valley Unified,San Ramon Valley Unified,86.70%,1.11%,90.25%,89.90%,37.70%,34.79%,0.14,0,67.69%,19.26%,2.41%,32.99%,64.24%,56.00%,75.68%,73.33%,77.46%,76.00%,67.92%,99.74%,0,1,100.00%,67.86%,99.73%,90.13%,90.13%,98.03%
1826,San Ysidro Elementary,South County,NC,NC,98.10%,97.63%,7.49%,7.52%,NC,0,49.64%,35.56%,1.99%,56.30%,40.74%,85.71%,79.41%,80.77%,63.89%,75.00%,80.56%,99.88%,0,0,100.00%,100.00%,NC,NC,NC,NC
1827,Sanger Academy Charter,Fresno County,NC,NC,100.00%,100.00%,NC,NC,0.00,0,71.43%,21.43%,3.57%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1828,Sanger Unified,Fresno County,83.93%,2.86%,97.17%,96.96%,15.21%,7.83%,0.00,0,77.61%,11.60%,2.64%,67.91%,2.99%,NC,85.00%,NC,80.56%,NC,85.00%,99.83%,0,0,100.00%,100.00%,100.00%,60.87%,60.87%,73.91%
1829,Santa Ana Unified,Santa Ana Unified,71.50%,2.37%,98.08%,97.80%,10.33%,8.79%,0.27,0,49.15%,24.89%,0.97%,26.54%,54.83%,72.16%,73.73%,75.73%,74.77%,74.67%,77.83%,99.63%,0,0,100.00%,94.93%,100.00%,66.46%,98.10%,100.00%
1830,Santa Barbara Charter,Santa Barbara County,NC,NC,100.00%,100.00%,42.86%,33.33%,0.00,0,90.48%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1831,Santa Barbara County Office of Education,Santa Barbara County,13.64%,NC,95.24%,93.65%,1.67%,0.00%,NC,NC,NC,NC,NC,NC,NC,84.95%,74.24%,73.00%,73.06%,80.26%,80.20%,NC,0,0,100.00%,NC,100.00%,NC,NC,NC
1832,Santa Barbara Unified,Santa Barbara County,70.92%,4.09%,94.14%,93.49%,12.57%,9.64%,0.99,0,60.98%,4.91%,0.84%,86.33%,10.07%,NC,NC,NC,NC,NC,NC,99.69%,0,1,100.00%,91.67%,100.00%,66.00%,86.67%,98.00%
1833,Santa Clara County Office of Education,Santa Clara Area I,12.61%,NC,84.31%,83.21%,5.83%,3.17%,NC,NC,NC,NC,NC,NC,NC,47.37%,35.14%,46.43%,35.21%,49.02%,36.23%,NC,NC,NC,NC,NC,NC,NC,NC,NC
1834,Santa Clara County Office of Education,Santa Clara Area II,12.61%,NC,84.31%,83.21%,5.83%,3.17%,NC,NC,NC,NC,NC,NC,NC,47.37%,35.14%,46.43%,35.21%,49.02%,36.23%,NC,NC,NC,NC,NC,NC,NC,NC,NC
1835,Santa Clara County Office of Education,Santa Clara Area III,12.61%,NC,84.31%,83.21%,5.83%,3.17%,NC,NC,NC,NC,NC,NC,NC,47.37%,35.14%,46.43%,35.21%,49.02%,36.23%,NC,NC,NC,100.00%,NC,100.00%,22.22%,22.22%,100.00%
1836,Santa Clara County Office of Education,Santa Clara Area IV,12.61%,NC,84.31%,83.21%,5.83%,3.17%,NC,NC,NC,NC,NC,NC,NC,47.37%,35.14%,46.43%,35.21%,49.02%,36.23%,NC,NC,NC,NC,NC,100.00%,0.00%,0.00%,100.00%
1837,Santa Clara County Office of Education,Santa Clara Area VII,12.61%,NC,84.31%,83.21%,5.83%,3.17%,NC,NC,NC,NC,NC,NC,NC,47.37%,35.14%,46.43%,35.21%,49.02%,36.23%,NC,NC,NC,NC,NC,100.00%,NC,NC,NC
1838,Santa Clara County Office of Education,Southeast Consortium,12.61%,NC,84.31%,83.21%,5.83%,3.17%,NC,NC,NC,NC,NC,NC,NC,47.37%,35.14%,46.43%,35.21%,49.02%,36.23%,NC,NC,NC,100.00%,NC,100.00%,0.00%,9.09%,100.00%
1839,Santa Clara Elementary,Ventura County,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1840,Santa Clara Unified,Santa Clara Area VII,74.27%,3.73%,94.52%,93.55%,19.39%,13.70%,0.51,0,56.79%,20.93%,1.87%,2.03%,56.10%,82.86%,82.86%,74.07%,80.65%,86.67%,77.27%,99.89%,0,1,100.00%,97.30%,100.00%,48.65%,91.89%,100.00%
1841,Santa Clarita Valley International,El Dorado County Charter,NC,NC,81.75%,80.00%,29.13%,17.00%,0.00,0,96.47%,2.94%,0.59%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,97.62%,NC,NC,NC
1842,Santa Cruz City Elementary,North Santa Cruz County,NC,NC,88.83%,88.32%,26.86%,27.01%,NC,0,78.75%,8.50%,1.98%,52.50%,30.00%,NC,NC,NC,NC,NC,NC,99.64%,0,0,100.00%,NC,NC,NC,NC,NC
1843,Santa Cruz City High,North Santa Cruz County,68.67%,6.77%,85.51%,84.06%,20.34%,11.49%,0.52,0,53.33%,15.15%,2.42%,NC,NC,NC,NC,NC,NC,NC,NC,99.26%,0,0,NC,NC,100.00%,65.38%,92.31%,98.08%
1844,Santa Cruz County Office of Education,North Santa Cruz County,77.63%,NC,77.42%,72.58%,6.25%,4.44%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,100.00%,NC,100.00%,26.83%,58.54%,92.68%
1845,Santa Maria Joint Union High,Santa Barbara County,73.26%,10.59%,91.49%,92.20%,8.53%,3.08%,NC,0,33.76%,20.07%,1.28%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,1,NC,NC,100.00%,NC,NC,NC
1846,Santa Maria-Bonita,Santa Barbara County,NC,NC,98.95%,98.95%,5.06%,4.96%,0.16,0,59.20%,23.92%,0.07%,49.08%,24.54%,NC,NC,NC,NC,NC,NC,99.76%,0,1,100.00%,95.74%,NC,NC,NC,NC
1847,Santa Monica Boulevard Community Charter,Los Angeles Unified,NC,NC,100.00%,100.00%,4.85%,5.83%,0.00,0,84.80%,15.20%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1848,Santa Monica-Malibu Unified,Tri-City,83.65%,7.89%,89.43%,88.57%,35.33%,26.65%,0.13,0,55.89%,15.86%,1.47%,80.00%,16.25%,NC,75.00%,NC,83.33%,NC,73.91%,99.43%,0,0,100.00%,NC,99.65%,NC,NC,NC
1849,Santa Paula Unified,Ventura County,80.43%,3.92%,97.42%,97.65%,6.75%,5.77%,0.53,0,42.01%,28.19%,4.30%,32.14%,22.32%,NC,48.15%,55.00%,50.00%,NC,59.26%,100.00%,0,0,100.00%,NC,100.00%,NC,NC,NC
1850,Santa Rita Union Elementary,Monterey County,NC,NC,96.31%,96.31%,13.79%,6.90%,0.00,0,65.11%,19.31%,1.87%,47.89%,23.94%,NC,NC,NC,NC,NC,NC,99.81%,0,0,100.00%,NC,NC,NC,NC,NC
1851,Santa Rosa Academy,Riverside County,NC,NC,97.92%,97.92%,40.43%,21.28%,0.00,0,96.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1852,Santa Rosa Accelerated Charter,Sonoma County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1853,Santa Rosa Charter School for the Arts,Sonoma County,NC,NC,82.76%,82.76%,20.83%,12.50%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1854,Santa Rosa Elementary,Sonoma County,NC,NC,93.59%,93.59%,11.64%,6.85%,NC,0,55.83%,28.33%,4.38%,36.18%,15.79%,NC,84.09%,NC,86.36%,NC,93.18%,99.22%,0,0,100.00%,87.50%,NC,NC,NC,NC
1855,Santa Rosa French-American Charter,Sonoma County,NC,NC,90.00%,90.00%,33.33%,5.56%,0.00,0,77.78%,22.22%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1856,Santa Rosa High,Sonoma County,NC,14.10%,89.31%,88.08%,10.45%,4.46%,0.30,0,25.28%,19.72%,7.56%,NC,NC,NC,NC,NC,NC,NC,NC,99.42%,0,1,100.00%,NC,100.00%,42.86%,91.07%,99.11%
1857,Santa Ynez Valley Charter,Santa Barbara County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1858,Santa Ynez Valley Union High,Santa Barbara County,80.56%,0.00%,100.00%,100.00%,18.52%,3.70%,0.00,0,53.98%,5.31%,0.88%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
1859,Santee,East County,NC,NC,95.84%,95.70%,20.45%,16.13%,0.00,0,65.00%,19.77%,1.14%,37.36%,38.46%,NC,92.59%,NC,88.89%,NC,88.89%,99.92%,0,0,100.00%,100.00%,NC,NC,NC,NC
1860,Santiago Middle,El Dorado County Charter,NC,0.00%,97.30%,97.30%,13.19%,7.64%,0.00,0,35.10%,21.19%,1.32%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1861,Saratoga Union Elementary,Santa Clara Area III,NC,NC,94.51%,94.51%,52.90%,47.10%,0.00,0,64.25%,13.47%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,1,100.00%,NC,NC,NC,NC,NC
1862,Sartorette Charter,Santa Clara Area III,NC,NC,100.00%,100.00%,20.51%,23.08%,0.00,0,49.12%,45.61%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1863,Saucelito Elementary,Tulare County,NC,NC,75.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1864,Saugus Union,Santa Clarita Valley,NC,NC,94.49%,94.14%,27.34%,22.59%,0.00,0,77.17%,17.94%,0.34%,67.76%,31.94%,72.73%,80.23%,70.00%,82.05%,NC,76.47%,99.52%,0,0,100.00%,98.33%,NC,NC,NC,NC
1865,Sausalito Marin City,Marin County,NC,NC,87.50%,87.50%,NC,NC,0.00,0,50.00%,38.89%,8.33%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1866,Savanna Elementary,Greater Anaheim,NC,NC,96.67%,96.67%,20.69%,17.93%,0.00,0,70.35%,21.24%,1.77%,14.29%,85.71%,NC,90.00%,NC,95.00%,NC,100.00%,100.00%,0,1,100.00%,100.00%,NC,NC,NC,NC
1867,Scholarship Prep - Oceanside,El Dorado County Charter,NC,NC,100.00%,100.00%,12.50%,8.33%,0.00,0,85.71%,14.29%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1868,Scholarship Prep Charter,El Dorado County Charter,NC,NC,100.00%,100.00%,28.57%,28.57%,0.00,0,93.02%,6.98%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1869,School for Entrepreneurship and Technology,El Dorado County Charter,70.00%,0.00%,100.00%,100.00%,NC,NC,0.00,0,95.16%,1.61%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
1870,School of Arts and Enterprise,El Dorado County Charter,NC,NC,97.22%,97.22%,17.14%,0.00%,0.00,0,98.75%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
1871,School of Extended Educational Options,Pomona Unified,NC,4.55%,92.31%,91.67%,NC,NC,0.00,0,66.67%,16.67%,3.33%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
1872,School of Universal Learning,South County,NC,NC,100.00%,100.00%,NC,NC,0.00,0,93.10%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1873,School of Unlimited Learning,Fresno Unified,NC,NC,100.00%,100.00%,NC,NC,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
1874,Science & Technology Academy at Knights Landing,Yolo County,NC,NC,100.00%,100.00%,17.24%,10.34%,0.00,0,94.44%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1875,Scotia Union Elementary,Humboldt-Del Norte,NC,NC,100.00%,100.00%,NC,NC,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1876,Scott Valley Unified,Siskiyou County,NC,NC,94.12%,94.12%,12.50%,12.50%,NC,0,59.68%,8.06%,1.61%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
1877,Scotts Valley Unified,North Santa Cruz County,NC,3.85%,89.86%,89.86%,40.32%,32.26%,0.00,0,68.52%,12.96%,2.22%,68.00%,12.00%,NC,NC,NC,NC,NC,NC,99.70%,0,0,100.00%,NC,100.00%,NC,NC,NC
1878,Sebastopol Independent Charter,Sonoma County,NC,NC,100.00%,100.00%,17.39%,17.39%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1879,Sebastopol Union Elementary,Sonoma County,NC,NC,95.00%,95.00%,28.95%,15.79%,0.00,0,53.33%,30.67%,1.33%,NC,NC,NC,NC,NC,NC,NC,NC,99.00%,0,0,NC,NC,NC,NC,NC,NC
1880,Seeley Union Elementary,Imperial County,NC,NC,100.00%,100.00%,5.71%,2.86%,0.00,0,81.58%,2.63%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1881,Seiad Elementary,Siskiyou County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1882,Selma Unified,Fresno County,76.27%,3.08%,97.54%,97.77%,14.65%,9.36%,0.41,0,69.86%,18.48%,1.57%,70.49%,1.64%,NC,92.00%,NC,80.00%,NC,95.83%,99.80%,0,1,100.00%,NC,100.00%,NC,NC,NC
1883,Semitropic Elementary,Kern County Consortium,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1884,Sequoia Elementary Charter,Tulare County,NC,NC,28.57%,28.57%,NC,NC,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1885,Sequoia Union Elementary,Tulare County,NC,NC,0.00%,50.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1886,Sequoia Union High,San Mateo County,72.57%,8.23%,80.72%,79.92%,24.88%,8.04%,1.50,1,64.53%,14.53%,4.96%,NC,NC,NC,NC,NC,NC,NC,NC,99.93%,0,2,100.00%,NC,100.00%,NC,NC,NC
1887,Serrania Avenue Charter For Enriched Studies,Los Angeles Unified,NC,NC,86.05%,86.05%,18.92%,21.62%,0.00,0,75.34%,15.07%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1888,Shaffer Union Elementary,Lassen County,NC,NC,100.00%,100.00%,NC,NC,NC,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1889,Shandon Joint Unified,San Luis Obispo County,NC,NC,96.30%,96.30%,3.85%,3.85%,0.00,0,73.47%,14.29%,2.04%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1890,Shasta Charter Academy,Shasta County,NC,NC,100.00%,100.00%,NC,NC,0.00,0,96.30%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
1891,Shasta County Independent Study Charter,Shasta County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1892,Shasta County Office of Education,Shasta County,NC,NC,83.33%,83.33%,10.00%,3.33%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,92.59%,NC,NC,NC
1893,Shasta Union Elementary,Shasta County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1894,Shasta Union High,Shasta County,83.93%,5.81%,89.31%,87.79%,9.40%,3.48%,0.00,0,50.19%,12.45%,6.42%,NC,NC,NC,NC,NC,NC,NC,NC,99.82%,0,0,NC,NC,100.00%,31.11%,84.44%,91.11%
1895,Shenandoah Valley,Amador County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1896,Sherman Oaks Elementary,Santa Clara Area III,NC,NC,96.15%,96.15%,16.00%,12.00%,0.00,0,88.10%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1897,Sherman Oaks Elementary Charter,Los Angeles Unified,NC,NC,87.67%,89.04%,25.00%,26.15%,0.00,0,66.02%,9.71%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,99.18%,NC,NC,NC,NC,NC,NC,NC,NC
1898,Sherman Thomas Charter,Madera-Mariposa County,NC,NC,100.00%,100.00%,NC,NC,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,1,NC,NC,NC,NC,NC,NC
1899,Sherman Thomas Charter High,Madera-Mariposa County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1900,Sherman Thomas STEM Academy,Madera-Mariposa County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1901,Sherwood Montessori,El Dorado County Charter,NC,NC,96.00%,96.00%,12.50%,8.33%,6.67,0,81.82%,4.55%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1902,Shiloh Charter,Stanislaus County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1903,Shiloh Elementary,Stanislaus County,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1904,Shoreline Unified,Marin County,NC,NC,84.62%,82.05%,21.21%,9.38%,0.00,0,42.25%,12.68%,1.41%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1905,Sierra Academy of Expeditionary Learning,Nevada County,NC,NC,66.67%,66.67%,NC,NC,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
1906,Sierra Charter,El Dorado County Charter,NC,NC,90.00%,95.00%,16.67%,0.00%,0.00,0,97.73%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
1907,Sierra Expeditionary Learning,Placer County,NC,NC,100.00%,100.00%,33.33%,20.83%,0.00,0,97.22%,2.78%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1908,Sierra Foothill Charter,Madera-Mariposa County,NC,NC,72.73%,72.73%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1909,Sierra Montessori Academy,Nevada County,NC,NC,100.00%,100.00%,NC,NC,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
1910,Sierra Sands Unified,Sierra Sands,90.32%,5.26%,97.13%,96.55%,15.68%,12.20%,1.15,0,42.77%,39.15%,0.79%,44.68%,45.74%,NC,80.00%,NC,NC,NC,NC,99.79%,0,0,100.00%,NC,99.45%,35.71%,71.43%,96.43%
1911,Sierra Unified,Fresno County,NC,NC,94.12%,94.12%,5.00%,6.25%,0.00,0,60.76%,12.03%,1.27%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
1912,Sierra Vista Charter High,Tulare County,NC,NC,50.00%,50.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
1913,Sierra-Plumas Joint Unified,Sierra County,NC,NC,91.43%,88.57%,3.13%,0.00%,0.00,0,70.83%,4.17%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
1914,Silver Fork Elementary,El Dorado County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
1915,Silver Oak High Public Montessori Charter,Sonoma County Charter,NC,NC,100.00%,100.00%,NC,NC,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
1916,Silver Valley Unified,Desert Mountain,NC,0.00%,97.50%,97.50%,17.31%,7.05%,0.00,0,68.71%,15.11%,1.44%,72.31%,13.85%,NC,NC,NC,NC,NC,NC,99.77%,0,0,100.00%,NC,100.00%,NC,NC,NC
1917,Simi Valley Unified,Ventura County,71.20%,0.00%,94.22%,94.23%,14.79%,12.79%,0.27,0,37.39%,16.31%,2.01%,34.06%,36.23%,86.96%,80.00%,86.96%,83.58%,85.19%,80.60%,99.96%,0,0,100.00%,98.33%,100.00%,39.81%,66.02%,98.06%
1918,Siskiyou County Office of Education,Siskiyou County,NC,NC,72.73%,72.73%,12.50%,3.13%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,100.00%,NC,100.00%,NC,NC,NC
1919,Siskiyou Union High,Siskiyou County,82.61%,9.52%,83.33%,91.67%,NC,NC,NC,0,65.22%,21.74%,1.45%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,100.00%,NC,NC,NC
1920,Six Rivers Charter High,Humboldt-Del Norte,NC,NC,100.00%,100.00%,NC,NC,0.00,0,93.33%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
1921,Sixth Street Prep,Desert Mountain,NC,NC,100.00%,100.00%,NC,NC,0.00,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
