,name,students,eighty,eighty-target,forty,forty-target,SuspExplFg,SuspExplRaceEthnicityFg,DisPrptnRprsntnFg,DisPrptnRprsntnDsbltyFg,four-year-grad,dropout,STATEFP,UNSDLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,_merge
73,Harney County SD 4,35.0,100.0,73.0,0.0,10.6,No ,No ,No ,No ,,,,,,,,,,,,,,,,,left_only
74,Harney County Union High SD 1J,6.0,100.0,73.0,0.0,10.6,No ,No ,No ,No ,,,,,,,,,,,,,,,,,left_only
75,Harper SD 66,13.0,100.0,73.0,0.0,10.6,No ,No ,No ,No ,,,41.0,6120.0,4106120.0,Harper SD 66,0.0,KG,12.0,G5420,,E,3038276984.0,448758.0,43.7959757,-117.7611438,both
76,Harrisburg SD 7J,116.0,72.41,73.0,12.93,10.6,No ,No ,No ,No ,83.33,4.08,41.0,19.0,4100019.0,Harrisburg SD 7J,0.0,KG,12.0,G5420,,E,336931242.0,3301411.0,44.265655,-123.0645537,both
77,Helix SD 1,21.0,100.0,73.0,0.0,10.6,No ,No ,No ,No ,,0.0,41.0,6270.0,4106270.0,Helix SD 1,0.0,KG,12.0,G5420,,E,578342289.0,5869.0,45.9095477,-118.7904971,both
78,Hermiston SD 8,667.0,68.97,73.0,12.29,10.6,No ,No ,No ,No ,41.38,2.87,41.0,6300.0,4106300.0,Hermiston SD 8,0.0,KG,12.0,G5420,,E,398054331.0,28263509.0,45.8608244,-119.2169919,both
79,Hillsboro SD 1J,2911.0,76.16,73.0,7.63,10.6,Yes,No ,No ,No ,71.24,2.66,41.0,23.0,4100023.0,Hillsboro SD 1J,0.0,KG,12.0,G5420,,E,524341108.0,473498.0,45.5572882,-122.9834986,both
80,Hood River County SD,464.0,70.04,73.0,9.05,10.6,No ,No ,No ,No ,69.39,6.06,,,,,,,,,,,,,,,left_only
81,Huntington SD 16J,10.0,90.0,73.0,10.0,10.6,No ,No ,No ,No ,,,41.0,6600.0,4106600.0,Huntington SD 16J,0.0,KG,12.0,G5420,,E,853181784.0,16706326.0,44.4549121,-117.3293124,both
82,Imbler SD 11,40.0,82.5,73.0,0.0,10.6,No ,No ,No ,No ,,0.0,41.0,6630.0,4106630.0,Imbler SD 11,0.0,KG,12.0,G5420,,E,308592388.0,0.0,45.4985087,-117.9862505,both
83,Ione SD R2,22.0,81.82,73.0,9.09,10.6,No ,No ,No ,No ,,0.0,,,,,,,,,,,,,,,left_only
84,Jefferson County SD 509J,455.0,75.6,73.0,7.69,10.6,No ,No ,No ,No ,81.4,4.35,41.0,6740.0,4106740.0,Jefferson County SD 509J,0.0,KG,12.0,G5420,,E,3796788042.0,15366593.0,44.8022764,-121.2606462,both
85,Jefferson SD 14J,132.0,84.09,73.0,6.06,10.6,No ,No ,No ,No ,90.48,0.0,41.0,6710.0,4106710.0,Jefferson SD 14J,0.0,KG,12.0,G5420,,E,144293077.0,3777957.0,44.7493954,-123.0275932,both
86,Jewell SD 8,30.0,93.33,73.0,0.0,10.6,No ,No ,No ,No ,,0.0,41.0,6750.0,4106750.0,Jewell SD 8,0.0,KG,12.0,G5420,,E,693512027.0,302443.0,45.9030945,-123.5574721,both
87,John Day SD 3,81.0,79.01,73.0,9.88,10.6,No ,No ,No ,No ,75.0,0.0,41.0,6780.0,4106780.0,John Day SD 3,0.0,KG,12.0,G5420,,E,3781862028.0,530236.0,44.2137154,-119.1141867,both
88,Jordan Valley SD 3,,,73.0,,10.6,No ,No ,No ,No ,,,41.0,6820.0,4106820.0,Jordan Valley SD 3,0.0,KG,12.0,G5420,,E,3797491605.0,48730177.0,43.0672871,-117.2747209,both
89,Joseph SD 6,24.0,100.0,73.0,0.0,10.6,No ,No ,No ,No ,,,41.0,6870.0,4106870.0,Joseph SD 6,0.0,KG,12.0,G5420,,E,3475117560.0,12099512.0,45.4357264,-116.9015554,both
90,Junction City SD 69,239.0,59.83,73.0,9.62,10.6,No ,No ,No ,No ,66.67,3.75,41.0,6930.0,4106930.0,Junction City SD 69,0.0,KG,12.0,G5420,,E,422754102.0,2074786.0,44.206179,-123.3070442,both
91,Juntura SD 12,,,73.0,,10.6,No ,No ,No ,No ,,,,,,,,,,,,,,,,,left_only
92,Klamath County SD,874.0,60.76,73.0,8.47,10.6,No ,No ,No ,No ,63.49,5.98,41.0,7020.0,4107020.0,Klamath County SD,0.0,KG,12.0,G5420,,E,15203470482.0,502260490.0,42.6837613,-121.6461682,both
93,Klamath Falls City Schools,388.0,79.64,73.0,7.99,10.6,No ,No ,No ,No ,40.0,9.55,41.0,7080.0,4107080.0,Klamath Falls City Schools,0.0,KG,12.0,G5420,,E,188169321.0,1426100.0,42.2640991,-121.8038001,both
94,Knappa SD 4,89.0,80.9,73.0,5.62,10.6,No ,No ,No ,No ,,3.85,41.0,40.0,4100040.0,Knappa SD 4,0.0,KG,12.0,G5420,,E,175887745.0,82505490.0,46.1974532,-123.5767604,both
95,La Grande SD 1,350.0,67.14,73.0,8.0,10.6,Yes,No ,No ,No ,80.77,0.95,41.0,7200.0,4107200.0,La Grande SD 1,0.0,KG,12.0,G5420,,E,2060564976.0,728666.0,45.2662958,-118.2891073,both
96,Lake County SD 7,90.0,65.56,73.0,4.44,10.6,No ,No ,No ,No ,100.0,2.94,,,,,,,,,,,,,,,left_only
97,Lake Oswego SD 7J,663.0,76.62,73.0,0.45,10.6,No ,No ,No ,No ,78.46,2.0,41.0,7230.0,4107230.0,Lake Oswego SD 7J,0.0,KG,12.0,G5420,,E,33479064.0,2266191.0,45.4123049,-122.6991542,both
98,Lebanon Community SD 9,661.0,79.27,73.0,7.56,10.6,Yes,No ,No ,No ,55.56,9.5,41.0,7380.0,4107380.0,Lebanon Community SD 9,0.0,KG,12.0,G5420,,E,625025211.0,3151517.0,44.532241,-122.8210443,both
99,Lincoln County SD,779.0,65.73,73.0,15.92,10.6,No ,No ,No ,No ,71.93,1.75,41.0,7500.0,4107500.0,Lincoln County SD,0.0,KG,12.0,G5420,,E,2801361092.0,610471862.0,44.6066258,-123.9130127,both
100,Long Creek SD 17,,,73.0,,10.6,No ,No ,No ,No ,,,41.0,7530.0,4107530.0,Long Creek SD 17,0.0,KG,12.0,G5420,,E,2152066730.0,18184.0,44.7773512,-119.006399,both
101,Lowell SD 71,92.0,92.39,73.0,4.35,10.6,No ,No ,No ,No ,100.0,0.0,41.0,7590.0,4107590.0,Lowell SD 71,0.0,KG,12.0,G5420,,E,809780271.0,27524704.0,43.9411012,-122.5839671,both
102,Mapleton SD 32,25.0,76.0,73.0,12.0,10.6,No ,No ,No ,No ,,0.0,41.0,7710.0,4107710.0,Mapleton SD 32,0.0,KG,12.0,G5420,,E,652501605.0,1456340.0,44.0789022,-123.8424478,both
103,Marcola SD 79J,54.0,90.74,73.0,3.7,10.6,No ,No ,No ,No ,71.43,0.0,41.0,7740.0,4107740.0,Marcola SD 79J,0.0,KG,12.0,G5420,,E,302449509.0,0.0,44.2142994,-122.7868321,both
104,McKenzie SD 68,32.0,75.0,73.0,3.13,10.6,No ,No ,No ,No ,,0.0,41.0,7980.0,4107980.0,McKenzie SD 68,0.0,KG,12.0,G5420,,E,1981925367.0,13743913.0,44.1224463,-122.1506889,both
105,McMinnville SD 40,803.0,79.2,73.0,11.21,10.6,No ,No ,No ,No ,77.59,1.44,41.0,8010.0,4108010.0,McMinnville SD 40,0.0,KG,12.0,G5420,,E,305489236.0,127197.0,45.2119166,-123.2820914,both
106,Medford SD 549C,2098.0,76.6,73.0,10.63,10.6,Yes,No ,No ,No ,74.36,3.62,,,,,,,,,,,,,,,left_only
107,Milton-Freewater Unified SD 7,196.0,75.51,73.0,8.16,10.6,No ,No ,No ,No ,53.33,12.96,,,,,,,,,,,,,,,left_only
108,Mitchell SD 55,61.0,86.89,73.0,13.11,10.6,No ,No ,No ,No ,16.67,48.78,41.0,8280.0,4108280.0,Mitchell SD 55,0.0,KG,12.0,G5420,,E,1643398454.0,694283.0,44.5177771,-120.0161252,both
109,Molalla River SD 35,377.0,74.54,73.0,7.69,10.6,No ,No ,No ,No ,54.17,2.26,41.0,8310.0,4108310.0,Molalla River SD 35,0.0,KG,12.0,G5420,,E,538132925.0,676827.0,45.0844293,-122.5192688,both
110,Monroe SD 1J,59.0,71.19,73.0,3.39,10.6,No ,No ,No ,No ,,0.0,41.0,8430.0,4108430.0,Monroe SD 1J,0.0,KG,12.0,G5420,,E,339807257.0,1111210.0,44.3502692,-123.3924742,both
111,Monument SD 8,8.0,100.0,73.0,0.0,10.6,No ,No ,No ,No ,,,41.0,8460.0,4108460.0,Monument SD 8,0.0,KG,12.0,G5420,,E,1398100108.0,53512.0,44.7604868,-119.4806565,both
112,Morrow SD 1,286.0,86.01,73.0,3.5,10.6,No ,No ,No ,No ,78.13,4.17,41.0,8520.0,4108520.0,Morrow SD 1,0.0,KG,12.0,G5420,,E,4267842381.0,44372294.0,45.3869477,-119.5259175,both
113,Mt Angel SD 91,82.0,71.95,73.0,7.32,10.6,No ,No ,No ,No ,,3.57,,,,,,,,,,,,,,,left_only
