,name,students,eighty,eighty-target,forty,forty-target,SuspExplFg,SuspExplRaceEthnicityFg,DisPrptnRprsntnFg,DisPrptnRprsntnDsbltyFg,four-year-grad,dropout,LEA-old,LEA,_merge
111,Monument SD 8,8.0,100.0,73.0,0.0,10.6,No ,No ,No ,No ,,,8460,008460,both
112,Morrow SD 1,286.0,86.01,73.0,3.5,10.6,No ,No ,No ,No ,78.13,4.17,8520,008520,both
113,Mt Angel SD 91,82.0,71.95,73.0,7.32,10.6,No ,No ,No ,No ,,3.57,8550,008550,both
114,Myrtle Point SD 41,70.0,77.14,73.0,10.0,10.6,No ,No ,No ,No ,14.29,0.0,640,000640,both
115,Neah-Kah-Nie SD 56,116.0,79.31,73.0,6.9,10.6,No ,No ,No ,No ,,5.88,8650,008650,both
116,Nestucca Valley SD 101J,70.0,70.0,73.0,12.86,10.6,No ,No ,No ,No ,,10.0,8700,008700,both
117,Newberg SD 29J,641.0,84.09,73.0,4.06,10.6,No ,No ,No ,No ,64.38,3.83,8720,008720,both
118,North Bend SD 13,559.0,78.18,73.0,4.47,10.6,No ,No ,No ,No ,34.21,8.13,8820,008820,both
119,North Clackamas SD 12,2619.0,64.83,73.0,12.03,10.6,Yes,No ,No ,No ,70.61,4.02,8830,008830,both
120,North Douglas SD 22,45.0,82.22,73.0,4.44,10.6,No ,No ,No ,No ,,8.33,4350,004350,both
121,North Lake SD 14,45.0,93.33,73.0,0.0,10.6,No ,No ,No ,No ,,8.33,11400,011400,both
122,North Marion SD 15,290.0,72.41,73.0,15.86,10.6,No ,No ,No ,No ,68.18,0.95,8880,008880,both
123,North Powder SD 8J,39.0,100.0,73.0,0.0,10.6,No ,No ,No ,No ,66.67,0.0,8940,008940,both
124,North Santiam SD 29J,349.0,64.76,73.0,18.91,10.6,Yes,No ,No ,No ,62.07,1.72,20,000020,both
125,North Wasco County SD 21,420.0,79.05,73.0,9.05,10.6,No ,No ,No ,No ,57.14,2.36,48,000048,both
126,Nyssa SD 26,157.0,91.08,73.0,1.91,10.6,No ,No ,No ,No ,60.0,3.7,9000,009000,both
127,Oakland SD 1,82.0,82.93,73.0,6.1,10.6,No ,No ,No ,No ,88.89,0.0,9120,009120,both
128,Oakridge SD 76,95.0,76.84,73.0,8.42,10.6,No ,No ,No ,No ,57.14,6.25,9150,009150,both
129,Ontario SD 8C,301.0,72.76,73.0,8.31,10.6,No ,No ,No ,No ,82.76,1.18,9270,009270,both
130,Oregon City SD 62,1189.0,72.75,73.0,13.37,10.6,No ,No ,No ,No ,70.43,5.47,9330,009330,both
131,Oregon Trail SD 46,520.0,65.77,73.0,18.27,10.6,Yes,No ,No ,No ,76.79,6.67,10920,010920,both
132,Paisley SD 11,20.0,100.0,73.0,0.0,10.6,No ,No ,No ,No ,,,9430,009430,both
133,Parkrose SD 3,497.0,71.63,73.0,1.41,10.6,No ,No ,No ,No ,51.06,2.34,9480,009480,both
134,Pendleton SD 16,434.0,64.75,73.0,10.37,10.6,No ,No ,No ,No ,61.54,2.94,9510,009510,both
135,Perrydale SD 21,32.0,90.63,73.0,0.0,10.6,No ,No ,No ,No ,100.0,0.0,9530,009530,both
136,Philomath SD 17J,168.0,68.45,73.0,5.95,10.6,No ,No ,No ,No ,62.5,1.61,9600,009600,both
137,Phoenix-Talent SD 4,362.0,67.96,73.0,14.92,10.6,No ,No ,No ,No ,60.0,3.57,9630,009630,both
138,Pilot Rock SD 2,35.0,94.29,73.0,0.0,10.6,No ,No ,No ,No ,,6.67,9660,009660,both
139,Pine Creek SD 5,,,73.0,,10.6,No ,No ,No ,No ,,,9690,009690,left_only
140,Pine Eagle SD 61,29.0,79.31,73.0,0.0,10.6,No ,No ,No ,No ,,0.0,9720,009720,both
141,Pinehurst SD 94,,,73.0,,10.6,No ,No ,No ,No ,,,9750,009750,both
142,Pleasant Hill SD 1,141.0,90.07,73.0,0.71,10.6,No ,No ,No ,No ,58.33,1.69,9870,009870,both
143,Plush SD 18,,,73.0,,10.6,No ,No ,No ,No ,,,9960,009960,both
144,Port Orford-Langlois SD 2CJ,18.0,88.89,73.0,5.56,10.6,No ,No ,No ,No ,,0.0,10020,010020,both
145,Portland SD 1J,7009.0,81.45,73.0,7.22,10.6,Yes,No ,No ,No ,59.27,4.99,10040,010040,both
146,Powers SD 31,16.0,56.25,73.0,0.0,10.6,No ,No ,No ,No ,,14.29,10080,010080,both
147,Prairie City SD 4,20.0,90.0,73.0,0.0,10.6,No ,No ,No ,No ,,0.0,10110,010110,both
148,Prospect SD 59,23.0,91.3,73.0,4.35,10.6,No ,No ,No ,No ,,0.0,10200,010200,both
149,Rainier SD 13,119.0,73.95,73.0,18.49,10.6,No ,No ,No ,No ,71.43,17.39,3265,003265,both
150,Redmond SD 2J,953.0,83.11,73.0,7.35,10.6,No ,No ,No ,No ,68.97,5.58,10350,010350,both
151,Reedsport SD 105,116.0,64.66,73.0,12.07,10.6,No ,No ,No ,No ,33.33,10.64,10410,010410,both
152,Reynolds SD 7,1700.0,54.59,73.0,12.76,10.6,No ,No ,No ,No ,55.0,6.95,10520,010520,both
153,Riddle SD 70,57.0,45.61,73.0,10.53,10.6,No ,No ,No ,No ,,4.35,10530,010530,both
154,Riverdale SD 51J,53.0,100.0,73.0,0.0,10.6,No ,No ,No ,No ,100.0,7.69,10560,010560,both
155,Rogue River SD 35,167.0,82.63,73.0,6.59,10.6,No ,No ,No ,No ,50.0,4.55,10680,010680,both
156,Salem-Keizer SD 24J,6584.0,72.89,73.0,13.06,10.6,No ,No ,No ,No ,57.98,3.74,10820,010820,both
157,Santiam Canyon SD 129J,732.0,88.39,73.0,6.97,10.6,No ,No ,No ,No ,41.67,14.36,8100,008100,both
158,Scappoose SD 1J,303.0,68.32,73.0,5.61,10.6,No ,No ,No ,No ,77.78,3.57,10980,010980,both
159,Scio SD 95,83.0,89.16,73.0,7.23,10.6,No ,No ,No ,No ,58.33,6.82,11040,011040,both
160,Seaside SD 10,232.0,70.26,73.0,9.91,10.6,No ,No ,No ,No ,72.0,9.52,11100,011100,both
161,Sheridan SD 48J,139.0,79.86,73.0,11.51,10.6,No ,No ,No ,No ,27.27,12.82,11220,011220,both
162,Sherman County SD,41.0,75.61,73.0,14.63,10.6,No ,No ,No ,No ,,11.11,11250,011250,both
163,Sherwood SD 88J,569.0,84.18,73.0,6.33,10.6,No ,No ,No ,No ,79.55,1.05,11290,011290,both
164,Silver Falls SD 4J,485.0,78.76,73.0,11.96,10.6,No ,No ,No ,No ,82.05,2.26,11470,011470,both
165,Sisters SD 6,103.0,85.44,73.0,3.88,10.6,No ,No ,No ,No ,64.29,3.77,11490,011490,both
166,Siuslaw SD 97J,182.0,75.82,73.0,12.64,10.6,No ,No ,No ,No ,62.5,11.11,5100,005100,both
167,South Harney SD 33,,,73.0,,10.6,No ,No ,No ,No ,,,5020,005020,left_only
168,South Lane SD 45J3,465.0,63.66,73.0,10.32,10.6,No ,No ,No ,No ,50.0,4.57,11580,011580,both
